id,value
id_0,27.414445365322752
id_1,61.555810062663504
id_2,20.497950456506317
id_3,29.534333362719952
id_4,10.797687196555806
id_5,36.20714491936718
id_6,39.716315366360966
id_7,16.571747759319365
id_8,48.236278427508395
id_9,33.983730060638706
id_10,39.25394285953196
id_11,58.483153356190726
id_12,37.233714747893806
id_13,41.66909328471137
id_14,27.55252612860501
id_15,13.18910709872352
id_16,52.30028904601954
id_17,23.63327879977444
id_18,19.766144768382453
id_19,20.513519042989103
id_20,15.66264103393656
id_21,28.492720096029068
id_22,38.034846257490564
id_23,11.080704790811202
id_24,58.24260299805237
id_25,44.531601361633456
id_26,28.87666772889028
id_27,9.806596189370188
id_28,29.69961929284412
id_29,36.35090722235416
id_30,19.43427142633501
id_31,12.714904600620137
id_32,17.011793155329286
id_33,8.626655099147845
id_34,18.822197915492495
id_35,38.66454385123308
id_36,20.08400630708873
id_37,28.392853980261734
id_38,6.944149846501391
id_39,59.689069181807895
id_40,46.63319147267521
id_41,17.285950876276736
id_42,49.70865806508231
id_43,18.98559218683995
id_44,44.1591900370859
id_45,51.198947557848875
id_46,61.64646726924152
id_47,40.29591287962921
id_48,51.040184493718904
id_49,42.08162138342003
id_50,30.756551606237604
id_51,25.43724261286427
id_52,41.078225472275285
id_53,26.363018779883138
id_54,38.24277135779781
id_55,39.90036021962096
id_56,25.700181457454814
id_57,22.495609915054835
id_58,37.45489793844452
id_59,31.50167939378211
id_60,15.993356502591169
id_61,23.134979125073134
id_62,31.722955075401536
id_63,55.05226998419446
id_64,49.7982690060541
id_65,27.16918903477967
id_66,41.80379687442616
id_67,53.97702893014793
id_68,28.602845936784885
id_69,39.58710568231302
id_70,64.41008308800703
id_71,53.21379376961197
id_72,44.59862484188483
id_73,11.816896488965364
id_74,13.289517378448032
id_75,37.13634030633938
id_76,60.8470426493417
id_77,3.7670377115402887
id_78,45.37960312820105
id_79,41.11117381383905
id_80,8.83597178060112
id_81,22.680545913904496
id_82,8.1594289593801
id_83,34.03012960893816
id_84,11.675417611469442
id_85,5.7595249185383235
id_86,16.876173350235643
id_87,12.034377754963671
id_88,13.361067840362164
id_89,28.145253241487662
id_90,30.627047906133427
id_91,11.835058575159266
id_92,14.132061849677438
id_93,8.39473093047687
id_94,36.41778610472371
id_95,16.17885631293719
id_96,16.28589438494994
id_97,9.21371442366088
id_98,11.671304842425673
id_99,4.6345245471928065
id_100,13.608716609519993
id_101,18.479952049724595
id_102,11.82113338097267
id_103,6.07742128184265
id_104,14.771719437944345
id_105,37.09927998380998
id_106,27.419971642115463
id_107,8.530816229280646
id_108,16.835701149560116
id_109,17.009857098043682
id_110,14.687304935050912
id_111,18.125811856047697
id_112,13.882100087296461
id_113,28.58420395834139
id_114,23.142689457499316
id_115,15.520806364406962
id_116,10.083576892006063
id_117,44.564489190686814
id_118,30.35993155218281
id_119,2.1027608932274635
id_120,2.927864046709624
id_121,11.872616647401994
id_122,16.39294322228513
id_123,15.970941353539436
id_124,7.163673565482941
id_125,27.2939130295085
id_126,22.340316194890875
id_127,13.732483709598169
id_128,20.50840948852194
id_129,18.095634189034897
id_130,4.665630727979841
id_131,36.411844358191566
id_132,14.866186369396905
id_133,27.46578494720282
id_134,24.300181646046486
id_135,21.97534115244154
id_136,10.824534599436621
id_137,20.333957650075437
id_138,77.2331335721134
id_139,63.593883044506526
id_140,28.090473667112967
id_141,18.151991287355138
id_142,25.717132346122483
id_143,8.858080399614327
id_144,12.311874324628448
id_145,10.749858652316458
id_146,22.28835912733774
id_147,8.217206524970143
id_148,14.136255134043974
id_149,17.603707370818483
id_150,51.43029780157698
id_151,21.677312542708698
id_152,24.635009244368824
id_153,16.280777781879802
id_154,14.920029802806656
id_155,27.58823405102679
id_156,21.89753298182318
id_157,34.455823395874155
id_158,3.859212137983617
id_159,20.428808410140054
id_160,44.05796484811105
id_161,19.499097065671787
id_162,55.62932146987941
id_163,20.124487841010815
id_164,37.643526244812335
id_165,25.486682297427887
id_166,21.80478025889719
id_167,2.1067393675332773
id_168,66.67237640011852
id_169,18.2051956228475
id_170,18.40145892651727
id_171,68.6355059183266
id_172,21.528800121936534
id_173,3.3540888149376533
id_174,23.917196676077445
id_175,3.193255521762813
id_176,7.336231884230017
id_177,19.802289062243066
id_178,21.02806332938717
id_179,21.301737776909825
id_180,43.10034461616683
id_181,27.726764029513035
id_182,29.345174515469452
id_183,12.926947042260426
id_184,9.49475537389389
id_185,41.79177308546218
id_186,37.56673667187301
id_187,33.46501640168239
id_188,16.611882435691896
id_189,22.27483591962975
id_190,15.646065303139748
id_191,15.434627476405474
id_192,33.50957976412313
id_193,78.29407491330964
id_194,29.69736380508404
id_195,12.389893889015639
id_196,61.028964290620436
id_197,16.303965649575787
id_198,19.900937499367693
id_199,24.053934411842057
id_200,124.9143836689714
id_201,27.2669077395757
id_202,58.66422817471744
id_203,5.931086883102665
id_204,62.32544832958167
id_205,36.084004390961624
id_206,18.207236987108953
id_207,15.241340486270753
id_208,63.812435598401315
id_209,14.774448854465469
id_210,30.383178987917983
id_211,71.9105896484523
id_212,20.901709195391646
id_213,117.49496073814379
id_214,40.12739121152085
id_215,82.30461084913233
id_216,92.80164267416772
id_217,70.5203447402029
id_218,29.614205398362497
id_219,20.094785986471557
id_220,31.502681743397616
id_221,54.62267509868336
id_222,29.16271897597064
id_223,40.042761388119665
id_224,44.6644535467411
id_225,9.00634987120801
